total_sleep_time,total_active_time,total_flow_volume,flow_rate,avg_packet_size,num_servers,num_protocols,uniq_dns,dns_interval,ntp_interval,device_co
83,545,2902,5.324770642201835,20.87769784172662,3,4,1,0,0,1
86,504,2625,5.208333333333333,20.192307692307693,3,4,1,0,0,1
90,535,3527,6.592523364485982,23.993197278911566,3,5,1,0,0,1
67,537,3715,6.918063314711359,24.281045751633986,3,4,1,0,0,1
119,576,4168,7.236111111111111,25.10843373493976,3,5,1,0,0,1
81,581,4253,7.320137693631669,26.0920245398773,3,4,1,0,0,1
76,555,3718,6.699099099099099,22.950617283950617,3,4,1,0,3,1
73,535,3316,6.198130841121495,22.868965517241378,3,4,1,0,0,1
81,571,4670,8.178633975481612,26.089385474860336,3,4,1,0,0,1
76,557,2493,4.475763016157989,18.197080291970803,3,4,1,0,0,1
74,533,4821,9.045028142589118,27.86705202312139,3,4,1,0,0,1
62,545,7178,13.170642201834863,32.47963800904977,3,4,1,0,0,1
91,524,3741,7.1393129770992365,24.45098039215686,3,4,1,0,0,1
87,548,7882,14.383211678832117,34.419213973799124,3,4,1,0,0,1
71,567,5643,9.952380952380953,30.01595744680851,3,4,1,0,0,1
60,569,7191,12.637961335676625,32.98623853211009,3,4,1,0,0,1
40,565,7522,13.313274336283186,32.8471615720524,3,4,1,0,0,1
39,553,7816,14.13381555153707,33.11864406779661,3,4,1,0,0,1
109,542,3052,5.630996309963099,21.342657342657343,3,4,1,0,0,1
94,562,4059,7.222419928825623,26.529411764705884,3,5,1,0,0,1
62,567,4406,7.7707231040564375,25.177142857142858,3,4,1,0,0,1
102,559,5126,9.16994633273703,26.422680412371133,3,4,1,0,0,1
69,576,3147,5.463541666666667,20.98,3,4,1,0,0,1
95,575,2905,5.052173913043478,19.761904761904763,3,4,1,0,0,1
72,526,3174,6.034220532319392,23.16788321167883,3,4,1,0,0,1
71,511,2610,5.107632093933463,20.390625,3,4,1,0,0,1
71,577,3314,5.743500866551127,22.39189189189189,3,4,1,0,0,1
84,527,3180,6.03415559772296,22.083333333333332,3,4,1,0,0,1
57,546,7025,12.866300366300367,32.22477064220183,3,4,1,0,0,1
60,576,4431,7.692708333333333,26.375,3,4,1,0,0,1
119,488,4887,10.014344262295081,29.618181818181817,3,5,1,0,0,1
97,536,4285,7.994402985074627,25.50595238095238,3,4,1,0,0,1
85,532,3246,6.101503759398496,22.859154929577464,3,4,1,0,0,1
18,583,7867,13.493996569468267,33.33474576271186,3,4,1,0,0,1
93,540,3526,6.529629629629629,22.45859872611465,3,4,1,0,0,1
81,530,4749,8.960377358490566,28.60843373493976,3,4,1,0,0,1
60,590,6907,11.706779661016949,34.02463054187192,3,5,1,0,0,1
51,560,8681,15.501785714285715,34.863453815261046,3,4,1,0,0,1
68,522,6057,11.60344827586207,31.06153846153846,3,4,1,0,0,1
103,553,3106,5.616636528028933,22.83823529411765,3,4,1,0,0,1
109,561,3078,5.4866310160427805,20.7972972972973,3,4,1,0,0,1
57,571,2954,5.17338003502627,21.1,3,4,1,0,0,1
91,545,3037,5.572477064220183,22.16788321167883,3,4,1,0,0,1
75,515,3230,6.271844660194175,23.071428571428573,3,4,1,0,0,1
95,561,2972,5.2976827094474155,20.63888888888889,3,4,1,0,0,1
73,524,3034,5.790076335877862,22.145985401459853,3,4,1,0,0,1
77,516,2664,5.162790697674419,19.733333333333334,3,4,1,0,0,1
67,523,2889,5.5239005736137665,20.934782608695652,3,4,1,0,0,1
86,499,2608,5.226452905811623,19.31851851851852,3,3,1,0,0,1
77,536,2965,5.531716417910448,21.801470588235293,3,4,1,0,0,1
53,554,2949,5.323104693140794,21.844444444444445,3,4,1,0,0,1
131,549,3084,5.617486338797814,22.02857142857143,3,5,1,0,0,1
116,538,3039,5.648698884758364,22.02173913043478,3,4,1,0,0,1
74,514,2673,5.200389105058366,20.56153846153846,3,4,1,0,0,1
82,574,2835,4.939024390243903,19.825174825174827,3,4,1,0,0,1
73,504,2676,5.309523809523809,21.070866141732285,3,4,1,0,0,1
69,518,2678,5.1698841698841695,20.442748091603054,3,4,1,0,0,1
86,537,3027,5.636871508379889,21.62142857142857,3,4,1,0,0,1
98,492,2978,6.0528455284552845,23.448818897637796,3,5,1,0,0,1
83,579,3401,5.8739205526770295,21.80128205128205,3,4,1,0,0,1
71,517,2734,5.288201160541586,20.870229007633586,3,4,1,0,0,1
72,510,2888,5.662745098039216,22.045801526717558,3,4,1,0,0,1
107,507,2592,5.112426035502959,20.571428571428573,3,4,1,0,0,1
78,543,2909,5.357274401473297,20.342657342657343,3,4,1,0,0,1
75,528,2886,5.465909090909091,20.762589928057555,3,4,1,0,0,1
69,554,2593,4.680505415162455,19.643939393939394,3,4,1,0,0,1
85,527,2763,5.242884250474384,21.091603053435115,3,4,1,0,0,1
113,535,2887,5.396261682242991,20.47517730496454,3,4,1,0,0,1
115,535,2624,4.904672897196262,20.5,3,4,1,0,0,1
43,565,2763,4.890265486725664,20.619402985074625,3,4,1,0,0,1
109,534,2884,5.400749063670412,21.05109489051095,3,4,1,0,0,1
110,518,2761,5.3301158301158305,21.23846153846154,3,4,1,0,0,1
118,542,2747,5.068265682656826,20.348148148148148,3,4,1,0,0,1
111,526,2831,5.38212927756654,21.12686567164179,3,4,1,0,0,1
74,519,2944,5.672447013487476,21.179856115107913,3,4,1,0,0,1
81,506,2752,5.438735177865612,20.53731343283582,3,4,1,0,0,1
79,528,3302,6.253787878787879,23.09090909090909,3,4,1,0,0,1
112,564,3153,5.590425531914893,21.304054054054053,2,4,1,0,0,1
86,506,2753,5.440711462450593,20.392592592592592,2,4,1,0,0,1
61,528,2733,5.176136363636363,20.244444444444444,2,4,1,0,0,1
94,559,2904,5.194991055456172,20.166666666666668,2,4,1,0,0,1
74,522,2609,4.998084291187739,19.916030534351144,2,4,1,0,0,1
110,544,3026,5.5625,20.445945945945947,2,4,1,0,0,1
75,521,2625,5.038387715930902,20.0381679389313,2,4,1,0,0,1
101,566,3039,5.369257950530035,21.5531914893617,2,4,1,0,0,1
111,523,2732,5.223709369024856,20.388059701492537,2,4,1,0,0,1
53,600,3091,5.151666666666666,21.615384615384617,2,4,1,0,0,1
82,517,3023,5.847195357833655,22.227941176470587,2,4,1,0,0,1
101,560,2524,4.507142857142857,19.267175572519083,2,4,1,0,0,1
126,520,2888,5.553846153846154,20.4822695035461,2,4,1,0,0,1
68,541,2455,4.5378927911275415,19.031007751937985,2,4,1,0,0,1
102,591,2969,5.023688663282572,21.207142857142856,2,4,1,0,0,1
88,550,2832,5.149090909090909,20.37410071942446,2,4,1,0,0,1
101,539,3579,6.640074211502783,25.74820143884892,2,5,1,0,0,1
123,536,2551,4.759328358208955,19.47328244274809,2,4,1,0,0,1
74,528,2830,5.359848484848484,20.656934306569344,2,4,1,0,0,1
127,542,3312,6.11070110701107,24.352941176470587,3,6,1,0,0,1
86,491,2898,5.902240325865581,21.466666666666665,3,3,1,0,0,1
86,536,3037,5.666044776119403,21.09027777777778,3,4,1,0,0,1
76,519,2759,5.315992292870906,20.901515151515152,3,4,1,0,0,1
63,522,2915,5.584291187739463,21.277372262773724,3,4,1,0,0,1
109,511,2604,5.095890410958904,20.666666666666668,3,4,1,0,0,1
100,561,3192,5.689839572192513,21.714285714285715,3,4,1,0,0,1
75,545,2846,5.222018348623854,20.04225352112676,3,4,1,0,0,1
67,572,2828,4.944055944055944,20.642335766423358,3,4,1,0,0,1
86,538,2775,5.157992565055762,20.708955223880597,3,4,1,0,0,1
84,528,2606,4.9356060606060606,20.519685039370078,3,4,1,0,0,1
100,536,2901,5.412313432835821,21.330882352941178,3,4,1,0,0,1
87,531,2610,4.915254237288136,19.333333333333332,3,4,1,0,0,1
99,502,2610,5.199203187250996,19.923664122137403,3,4,1,0,0,1
78,548,2988,5.452554744525547,21.19148936170213,3,5,1,0,0,1
86,548,2680,4.890510948905109,19.420289855072465,3,4,1,0,0,1
86,525,2901,5.525714285714286,21.02173913043478,3,4,1,0,0,1
64,529,3038,5.742911153119093,22.175182481751825,3,4,1,0,0,1
97,548,3653,6.666058394160584,25.368055555555557,3,5,1,0,0,1
100,544,2766,5.084558823529412,20.954545454545453,3,4,1,0,0,1
105,513,2889,5.631578947368421,21.886363636363637,3,4,1,0,0,1
80,533,2888,5.418386491557223,21.87878787878788,3,4,1,0,0,1
251,325,15208,46.793846153846154,42.4804469273743,5,4,3,0,0,1
88,492,12099,24.591463414634145,43.99636363636364,6,7,3,0,0,1
77,512,3153,6.158203125,24.826771653543307,6,5,1,0,0,1
74,574,3260,5.679442508710801,21.30718954248366,6,4,1,0,0,1
71,549,2694,4.907103825136612,20.40909090909091,6,4,1,0,0,1
98,535,2556,4.777570093457944,19.363636363636363,6,4,1,0,0,1
86,531,2610,4.915254237288136,19.772727272727273,6,4,1,0,0,1
95,519,2902,5.591522157996146,21.496296296296297,6,4,1,0,0,1
87,562,2955,5.258007117437723,20.809859154929576,6,4,1,0,0,1
69,562,3240,5.765124555160142,22.816901408450704,6,4,1,0,0,1
73,531,2751,5.1807909604519775,20.377777777777776,6,4,1,0,0,1
103,519,2900,5.5876685934489405,20.714285714285715,6,4,1,0,0,1
77,545,3038,5.574311926605505,20.527027027027028,6,4,1,0,0,1
106,566,3027,5.348056537102473,20.591836734693878,6,4,1,0,0,1
88,544,2956,5.4338235294117645,20.816901408450704,6,4,1,0,0,1
77,550,2973,5.405454545454545,20.363013698630137,6,4,1,0,0,1
71,567,3040,5.361552028218695,21.25874125874126,6,4,1,0,0,1
85,548,2609,4.760948905109489,19.470149253731343,6,4,1,0,0,1
88,545,2624,4.814678899082569,20.184615384615384,6,4,1,0,0,1
59,546,2899,5.309523809523809,21.796992481203006,6,4,1,0,0,1
69,512,2748,5.3671875,20.661654135338345,6,4,1,0,0,1
82,502,3503,6.97808764940239,25.021428571428572,6,5,1,0,0,1
80,565,3190,5.646017699115045,21.554054054054053,6,4,1,0,0,1
100,536,2898,5.406716417910448,22.12213740458015,6,4,1,0,0,1
83,547,3024,5.528336380255942,21.4468085106383,6,4,1,0,0,1
105,567,2870,5.061728395061729,20.06993006993007,6,4,1,0,0,1
89,509,2842,5.583497053045186,21.69465648854962,6,4,1,0,0,1
77,538,2529,4.700743494423792,19.30534351145038,6,4,1,0,0,1
74,545,2606,4.781651376146789,20.519685039370078,6,4,1,0,0,1
96,541,2941,5.436229205175601,21.158273381294965,6,4,1,0,0,1
91,544,2557,4.700367647058823,19.519083969465647,6,4,1,0,0,1
67,568,2904,5.112676056338028,19.89041095890411,6,4,1,0,0,1
102,561,2763,4.925133689839572,20.02173913043478,6,4,1,0,0,1
85,527,2746,5.2106261859582546,20.646616541353385,6,4,1,0,0,1
119,525,2901,5.525714285714286,21.330882352941178,6,4,1,0,0,1
89,540,2746,5.0851851851851855,20.9618320610687,6,4,1,0,0,1
63,549,2896,5.2750455373406195,21.138686131386862,6,4,1,0,0,1
83,528,3147,5.9602272727272725,22.161971830985916,6,4,1,0,0,1
59,549,3036,5.530054644808743,21.23076923076923,6,4,1,0,0,1
67,530,3040,5.735849056603773,20.96551724137931,6,4,1,0,0,1
72,555,2744,4.944144144144144,19.741007194244606,6,4,1,0,0,1
63,520,2757,5.301923076923077,21.372093023255815,6,4,1,0,0,1
85,512,2540,4.9609375,19.84375,6,4,1,0,0,1
82,571,3459,6.057793345008757,24.18881118881119,6,5,1,0,0,1
82,563,3333,5.9200710479573715,22.369127516778523,6,4,1,0,0,1
76,547,2814,5.144424131627057,20.844444444444445,6,4,1,0,0,1
100,571,3044,5.330998248686515,20.42953020134228,6,4,1,0,0,1
88,565,3112,5.5079646017699115,20.60927152317881,6,4,1,0,0,1
77,546,2886,5.285714285714286,21.065693430656935,6,4,1,0,0,1
76,557,3039,5.456014362657092,22.02173913043478,6,4,1,0,0,1
81,519,3038,5.853564547206166,22.503703703703703,6,4,1,0,0,1
96,551,2953,5.35934664246824,21.39855072463768,6,4,1,0,0,1
70,534,3109,5.822097378277154,21.74125874125874,6,4,1,0,0,1
78,519,2737,5.273603082851638,19.833333333333332,6,4,1,0,0,1
82,585,3180,5.435897435897436,21.05960264900662,6,4,1,0,0,1
65,560,3033,5.416071428571429,20.08609271523179,6,4,1,0,0,1
75,536,2957,5.516791044776119,22.23308270676692,6,4,1,0,0,1
95,522,2667,5.109195402298851,19.755555555555556,6,4,1,0,0,1
92,515,2630,5.106796116504855,20.387596899224807,6,4,1,0,0,1
66,521,2622,5.032629558541267,20.16923076923077,6,4,1,0,0,1
75,516,2608,5.054263565891473,20.217054263565892,6,4,1,0,0,1
94,545,3370,6.18348623853211,24.071428571428573,6,5,1,0,0,1
76,507,2567,5.063116370808679,20.0546875,6,3,1,0,0,1
81,562,2954,5.2562277580071175,20.51388888888889,6,4,1,0,0,1
70,568,3009,5.297535211267606,20.895833333333332,6,4,1,0,0,1
82,549,3027,5.5136612021857925,20.591836734693878,6,4,1,0,0,1
83,515,2890,5.611650485436893,19.93103448275862,6,4,1,0,0,1
96,548,3339,6.093065693430657,23.34965034965035,6,5,1,0,0,1
95,516,3167,6.137596899224806,20.69934640522876,6,3,1,0,0,1
67,553,2884,5.215189873417722,21.362962962962964,6,4,1,0,0,1
110,516,2867,5.5562015503875966,22.053846153846155,6,4,1,0,0,1
67,525,2886,5.497142857142857,21.220588235294116,6,4,1,0,0,1
104,511,2940,5.7534246575342465,21.45985401459854,6,4,1,0,0,1
60,561,2746,4.894830659536542,20.340740740740742,6,4,1,0,0,1
65,535,2524,4.717757009345794,19.565891472868216,6,4,1,0,0,1
77,529,2365,4.47069943289225,17.649253731343283,6,3,1,0,0,1
79,504,2538,5.035714285714286,20.467741935483872,6,4,1,0,0,1
87,552,3094,5.605072463768116,21.047619047619047,6,4,1,0,0,1
95,500,2886,5.772,21.220588235294116,6,4,1,0,0,1
61,538,2728,5.070631970260223,21.3125,6,4,1,0,0,1
69,548,3026,5.521897810218978,21.769784172661872,6,4,1,0,0,1
77,507,2873,5.666666666666667,21.440298507462686,6,4,1,0,0,1
92,494,3260,6.59919028340081,25.076923076923077,6,5,1,0,0,1
84,509,2216,4.3536345776031435,17.046153846153846,6,2,0,0,0,1
87,563,3252,5.7761989342806395,23.39568345323741,6,5,1,0,0,1
79,536,2765,5.1585820895522385,20.036231884057973,6,4,1,0,0,1
75,561,2751,4.903743315508021,20.227941176470587,6,4,1,0,0,1
58,536,2473,4.6138059701492535,19.170542635658915,6,4,1,0,0,1
60,533,2693,5.052532833020638,20.557251908396946,6,4,1,0,0,1
79,514,2470,4.80544747081712,19.919354838709676,6,4,1,0,0,1
85,567,2694,4.751322751322752,19.52173913043478,6,4,1,0,0,1
66,518,2884,5.5675675675675675,22.015267175572518,6,4,1,0,0,1
80,529,3040,5.746691871455576,21.408450704225352,6,4,1,0,0,1
95,523,3032,5.797323135755258,20.767123287671232,6,4,1,0,0,1
82,515,2669,5.1825242718446605,19.77037037037037,6,4,1,0,0,1
100,527,3101,5.884250474383301,20.812080536912752,6,4,1,0,0,1
121,507,2752,5.428007889546351,20.53731343283582,2,4,1,0,0,1
88,542,2890,5.332103321033211,20.49645390070922,2,4,1,0,0,1
86,513,3270,6.374269005847953,24.402985074626866,2,5,1,0,0,1
60,595,2440,4.100840336134453,17.30496453900709,2,3,0,0,0,1
132,544,3740,6.875,25.27027027027027,2,5,1,0,0,1
71,543,2889,5.320441988950276,21.087591240875913,2,4,1,0,0,1
69,557,2909,5.22262118491921,20.06206896551724,2,4,1,0,0,1
98,566,3185,5.627208480565371,20.416666666666668,2,4,1,0,0,1
75,534,2624,4.913857677902621,18.87769784172662,2,4,1,0,0,1
77,550,2751,5.001818181818182,20.227941176470587,2,4,1,0,0,1
79,540,3097,5.735185185185185,22.12142857142857,2,4,1,0,0,1
83,528,2944,5.575757575757576,20.879432624113477,2,4,1,0,0,1
118,505,2612,5.172277227722772,20.248062015503876,2,4,1,0,0,1
97,516,2594,5.0271317829457365,19.50375939849624,2,4,1,0,0,1
73,519,2780,5.35645472061657,20.441176470588236,2,3,1,0,0,1
95,551,2898,5.259528130671506,20.408450704225352,2,4,1,0,0,1
108,520,2485,4.778846153846154,19.88,2,4,1,0,0,1
66,561,2903,5.174688057040998,20.443661971830984,2,4,1,0,0,1
89,533,2469,4.632270168855535,19.752,2,4,1,0,0,1
82,533,2833,5.315196998123827,20.528985507246375,2,4,1,0,0,1
118,538,2970,5.520446096654275,21.52173913043478,2,4,1,0,0,1
93,520,2752,5.292307692307692,20.385185185185186,2,4,1,0,0,1
91,536,3182,5.936567164179104,21.072847682119207,2,4,1,0,0,1
151,550,3469,6.307272727272728,23.924137931034483,2,5,1,0,0,1
113,534,2974,5.569288389513108,20.943661971830984,2,4,1,0,0,1
111,534,2908,5.4456928838951315,20.624113475177303,2,4,1,0,0,1
87,513,2829,5.514619883040936,20.801470588235293,2,4,1,0,0,1
64,555,2842,5.120720720720721,21.53030303030303,2,4,1,0,0,1
90,562,2779,4.944839857651245,19.70921985815603,2,4,1,0,0,1
60,544,2483,4.564338235294118,19.3984375,2,3,1,0,0,1
84,525,2613,4.977142857142857,20.4140625,2,4,1,0,0,1
74,517,2621,5.06963249516441,19.856060606060606,2,4,1,0,0,1
59,551,2762,5.012704174228675,20.611940298507463,2,4,1,0,0,1
83,513,2742,5.345029239766082,20.931297709923665,2,4,1,0,0,1
71,559,3037,5.432915921288014,21.692857142857143,2,4,1,0,0,1
107,541,3038,5.615526802218114,20.951724137931034,2,4,1,0,0,1
79,530,2884,5.441509433962264,20.309859154929576,2,4,1,0,0,1
70,542,3503,6.46309963099631,25.201438848920862,3,6,1,0,0,1
127,523,3742,7.154875717017209,25.45578231292517,3,5,1,0,0,1
107,532,3211,6.035714285714286,22.77304964539007,3,5,1,0,0,1
68,523,2867,5.4818355640535374,21.71969696969697,3,4,1,0,0,1
90,560,3027,5.4053571428571425,21.167832167832167,3,4,1,0,0,1
96,550,3235,5.881818181818182,22.006802721088434,3,4,1,0,0,1
81,557,2806,5.03770197486535,20.48175182481752,3,4,1,0,0,1
96,527,3803,7.216318785578748,26.04794520547945,3,5,1,0,0,1
117,534,2625,4.915730337078652,19.886363636363637,3,4,1,0,0,1
55,591,2748,4.649746192893401,19.35211267605634,3,4,1,0,0,1
92,535,2640,4.934579439252336,20.307692307692307,3,4,1,0,0,1
85,512,2900,5.6640625,21.16788321167883,3,4,1,0,0,1
103,535,2597,4.8542056074766355,19.82442748091603,3,4,1,0,0,1
81,553,3029,5.477396021699819,20.889655172413793,3,4,1,0,0,1
84,571,2889,5.059544658493871,20.784172661870503,3,4,1,0,0,1
62,546,2886,5.285714285714286,21.220588235294116,3,4,1,0,0,1
80,526,2762,5.250950570342205,21.083969465648856,3,4,1,0,0,1
106,519,2877,5.543352601156069,20.697841726618705,3,4,1,0,0,1
91,546,3051,5.587912087912088,22.27007299270073,3,4,1,0,0,1
118,551,2873,5.214156079854809,20.66906474820144,3,4,1,0,0,1
73,527,2751,5.2201138519924095,20.529850746268657,3,4,1,0,0,1
95,508,2776,5.464566929133858,20.872180451127818,3,4,1,0,0,1
99,545,2873,5.271559633027523,20.66906474820144,3,4,1,0,0,1
73,540,2475,4.583333333333333,19.186046511627907,3,4,1,0,0,1
76,521,2819,5.410748560460653,20.42753623188406,3,4,1,0,0,1
94,516,2957,5.73062015503876,20.823943661971832,3,4,1,0,0,1
56,554,2735,4.936823104693141,20.41044776119403,3,4,1,0,0,1
116,540,3030,5.611111111111111,20.896551724137932,3,4,1,0,0,1
56,533,3555,6.669793621013133,25.94890510948905,3,5,1,0,0,1
81,566,3247,5.736749116607774,22.08843537414966,3,4,1,0,0,1
56,541,2746,5.075785582255083,21.123076923076923,3,4,1,0,0,1
75,517,2593,5.015473887814314,20.2578125,3,4,1,0,0,1
81,514,2887,5.616731517509727,20.769784172661872,3,4,1,0,0,1
52,543,2469,4.54696132596685,19.595238095238095,3,4,1,0,0,1
72,513,2748,5.356725146198831,20.507462686567163,3,4,1,0,0,1
96,561,2624,4.677361853832442,19.87878787878788,3,4,1,0,0,1
82,527,2608,4.94876660341556,19.908396946564885,3,4,1,0,0,1
81,563,2762,4.905861456483126,19.8705035971223,3,4,1,0,0,1
70,520,2764,5.315384615384615,20.939393939393938,3,4,1,0,0,1
93,530,2159,4.073584905660377,17.411290322580644,3,4,1,0,0,1
103,592,3043,5.140202702702703,20.286666666666665,3,4,1,0,0,1
127,559,3161,5.65474060822898,21.65068493150685,3,4,1,0,0,1
79,548,3008,5.489051094890511,21.034965034965033,3,4,1,0,0,1
70,569,2884,5.068541300527241,20.45390070921986,3,4,1,0,0,1
91,507,3039,5.994082840236686,22.182481751824817,3,4,1,0,0,1
61,563,3043,5.404973357015986,20.986206896551725,3,5,1,0,0,1
83,520,2886,5.55,20.91304347826087,3,4,1,0,0,1
60,561,2887,5.146167557932264,20.04861111111111,3,4,1,0,0,1
95,580,3076,5.303448275862069,20.92517006802721,3,5,1,0,0,1
128,563,3676,6.529307282415631,24.344370860927153,3,5,1,0,0,1
109,523,3042,5.816443594646271,21.272727272727273,3,4,1,0,0,1
99,505,2615,5.178217821782178,19.9618320610687,3,4,1,0,0,1
103,526,3111,5.914448669201521,21.455172413793104,3,4,1,0,0,1
113,536,2818,5.257462686567164,20.420289855072465,3,4,1,0,0,1
102,556,3024,5.438848920863309,21.146853146853147,3,4,1,0,0,1
88,525,3175,6.0476190476190474,23.345588235294116,3,4,1,0,0,1
86,563,2745,4.875666074600355,20.954198473282442,3,4,1,0,0,1
102,529,2903,5.487712665406427,20.884892086330936,3,4,1,0,0,1
73,539,2728,5.061224489795919,20.984615384615385,3,4,1,0,0,1
62,557,3024,5.429084380610413,21.4468085106383,3,4,1,0,0,1
101,509,2732,5.367387033398821,20.08823529411765,3,4,1,0,0,1
78,553,3041,5.499095840867993,20.828767123287673,3,4,1,0,0,1
85,495,2747,5.5494949494949495,20.654135338345863,3,4,1,0,0,1
82,527,2611,4.954459203036053,19.78030303030303,3,4,1,0,0,1
83,534,3029,5.6722846441947565,20.328859060402685,3,4,1,0,0,1
49,534,2329,4.361423220973783,19.905982905982906,3,4,1,0,0,1
74,519,2921,5.628131021194605,21.32116788321168,3,5,1,0,0,1
67,529,3279,6.198487712665407,25.41860465116279,3,6,1,0,0,1
80,558,2801,5.019713261648746,20.297101449275363,3,4,1,0,0,1
74,550,2746,4.992727272727273,20.646616541353385,3,4,1,0,0,1
74,526,2678,5.091254752851711,20.442748091603054,3,4,1,0,0,1
96,534,3807,7.129213483146067,25.211920529801326,3,5,1,0,0,1
76,515,2831,5.497087378640777,21.610687022900763,3,4,1,0,0,1
97,524,2887,5.509541984732825,21.072992700729927,3,4,1,0,0,1
87,510,2765,5.421568627450981,20.182481751824817,3,4,1,0,0,1
99,536,3072,5.731343283582089,21.333333333333332,3,5,1,0,0,1
95,522,2903,5.561302681992337,21.18978102189781,3,4,1,0,0,1
80,519,2636,5.0789980732177264,20.92063492063492,3,4,1,0,0,1
49,532,2773,5.212406015037594,21.33076923076923,3,4,1,0,0,1
80,541,2607,4.818853974121996,20.52755905511811,3,4,1,0,0,1
70,544,2774,5.099264705882353,20.857142857142858,3,4,1,0,0,1
116,546,2555,4.67948717948718,19.9609375,3,4,1,0,0,1
113,577,2679,4.642980935875217,19.41304347826087,3,4,1,0,0,1
79,539,3040,5.640074211502783,21.11111111111111,3,4,1,0,0,1
67,591,3041,5.145516074450085,20.5472972972973,3,4,1,0,0,1
